,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,perc_weight,perc_weight2,Count_type
86,MM-05_R,Aflatoxin,,,,,0.625432526,Ghana
87,MM-06_R,Aflatoxin,,,,,0.614893617,Ghana
88,MM-07_R,Aflatoxin,,,,,0.617322139,Ghana
89,MM-08_R,Aflatoxin,,,,,0.622816033,Ghana
90,MM-09_R,Aflatoxin,,,,,0.58436214,Ghana
91,NRB_1_R,Mass,10.47128548,1.02,53,11.1649463,0.11164946,Kenya
92,NRB_2_R,Mass,138.0384265,2.14,48.3,12.4709527,0.12470953,Kenya
93,NRB_3_R,Mass,3388.441561,3.53,17.8,3.28050129,0.03280501,Kenya
94,NRB_4_R,Mass,1.096478196,0.04,17.9,3.80932113,0.03809321,Kenya
95,NRB_5_R,Mass,1.096478196,0.04,36.6,8.85555287,0.08855553,Kenya
96,NRB_6_R,Mass,1.096478196,0.04,60.5,13.4205856,0.13420586,Kenya
97,NRB_7_R,Mass,1.096478196,0.04,36.8,10.8714919,0.10871492,Kenya
98,NRB_8_R,Mass,151.3561248,2.18,30.9,7.26887791,0.07268878,Kenya
99,NRB_9_R,Mass,20.41737945,1.31,42.4,9.91349076,0.09913491,Kenya
100,NRB_10_R,Mass,1.288249552,0.11,16.2,5.02637294,0.05026373,Kenya
101,NRB_11_R,Mass,2.511886432,0.4,28.4,7.74897681,0.07748977,Kenya
102,NRB_12_R,Mass,1.77827941,0.25,10.6,2.40417328,0.02404173,Kenya
103,NRB_13_R,Mass,2.884031503,0.46,45.1,9.56318914,0.09563189,Kenya
104,NRB_14_R,Mass,1.122018454,0.05,26.7,8.16763536,0.08167635,Kenya
105,NRB_15_R,Mass,1.096478196,0.04,33.5,6.5111759,0.06511176,Kenya
106,NRB_16_R,Mass,1.348962883,0.13,12,3.18471338,0.03184713,Kenya
107,NRB_17_R,Mass,1.096478196,0.04,28.8,10.3671706,0.10367171,Kenya
108,NRB_18_R,Mass,2.13796209,0.33,13.4,4.68040517,0.04680405,Kenya
109,NRB_19_R,Mass,1.258925412,0.1,26.2,6.65988815,0.06659888,Kenya
110,NRB_20_R,Mass,1.096478196,0.04,47.5,10.1822079,0.10182208,Kenya
111,NRB_21_R,Mass,1.122018454,0.05,28.6,5.88356305,0.05883563,Kenya
112,NRB_22_R,Mass,1.096478196,0.04,1.8,1.10497238,0.01104972,Kenya
113,NRB_23_R,Mass,1.096478196,0.04,24.5,5.61411549,0.05614115,Kenya
114,NRB_24_R,Mass,1.096478196,0.04,11.2,1.82232346,0.01822323,Kenya
115,NRB_25_R,Mass,1.096478196,0.04,23.8,6.42895732,0.06428957,Kenya
116,NRB_26_R,Mass,1.096478196,0.04,26.7,5.97449094,0.05974491,Kenya
117,NRB_27_R,Mass,1.096478196,0.04,24.1,5.98460392,0.05984604,Kenya
118,NRB_28_R,Mass,1.096478196,0.04,13.4,5.74614065,0.05746141,Kenya
119,NRB_29_R,Mass,6.60693448,0.82,31.5,11.7933358,0.11793336,Kenya
120,NRB_30_R,Mass,36.30780548,1.56,23.1,6.80412371,0.06804124,Kenya
121,NRB_31_R,Mass,1.096478196,0.04,14.3,3.89327525,0.03893275,Kenya
122,NRB_32_R,Mass,1.380384265,0.14,90.1,18.9087093,0.18908709,Kenya
123,NRB_33_R,Mass,1.096478196,0.04,12.9,4.0655531,0.04065553,Kenya
124,NRB_34_R,Mass,1.202264435,0.08,11.7,3.50719424,0.03507194,Kenya
125,NRB_35_R,Mass,1.096478196,0.04,12.9,3.34456832,0.03344568,Kenya
126,NRB_36_R,Mass,1.096478196,0.04,19.5,4.44191344,0.04441913,Kenya
127,NRB_37_R,Mass,1.202264435,0.08,20,4.76985452,0.04769855,Kenya
128,NRB_38_R,Mass,1.096478196,0.04,23.3,5.66909976,0.056691,Kenya
129,NRB_39_R,Mass,1.096478196,0.04,33.7,8.17564289,0.08175643,Kenya
130,NRB_40_R,Mass,1.258925412,0.1,16.2,5.35714286,0.05357143,Kenya
131,NRB_41_R,Mass,1.096478196,0.04,25.5,6.2746063,0.06274606,Kenya
132,NRB_42_R,Mass,1.096478196,0.04,20.7,5.98438855,0.05984389,Kenya
133,NRB_43_R,Mass,1.096478196,0.04,20,6.37551801,0.06375518,Kenya
134,NRB_44_R,Mass,1.096478196,0.04,75.7,25.1662234,0.25166223,Kenya
135,NRB_45_R,Mass,1.096478196,0.04,16.3,3.96786758,0.03967868,Kenya
136,NRB_1_R,Aflatoxin,,,,,0.869900963,Kenya
137,NRB_2_R,Aflatoxin,,,,,0.992214535,Kenya
138,NRB_3_R,Aflatoxin,,,,,0.999669222,Kenya
139,NRB_4_R,Aflatoxin,,,,,0.493899929,Kenya
140,NRB_5_R,Aflatoxin,,,,,0.102458809,Kenya
141,NRB_6_R,Aflatoxin,,,,,0.365771488,Kenya
142,NRB_7_R,Aflatoxin,,,,,0.341053407,Kenya
143,NRB_8_R,Aflatoxin,,,,,0.706131183,Kenya
144,NRB_9_R,Aflatoxin,,,,,0.948384079,Kenya
145,NRB_10_R,Aflatoxin,,,,,0.536301817,Kenya
146,NRB_11_R,Aflatoxin,,,,,0.693639516,Kenya
147,NRB_12_R,Aflatoxin,,,,,0.612217792,Kenya
148,NRB_13_R,Aflatoxin,,,,,0.69673008,Kenya
149,NRB_14_R,Aflatoxin,,,,,0.503321776,Kenya
150,NRB_15_R,Aflatoxin,,,,,0.493899929,Kenya
151,NRB_16_R,Aflatoxin,,,,,0.545627118,Kenya
152,NRB_17_R,Aflatoxin,,,,,0.493899929,Kenya
153,NRB_18_R,Aflatoxin,,,,,0.166471881,Kenya
154,NRB_19_R,Aflatoxin,,,,,0.53252578,Kenya
155,NRB_20_R,Aflatoxin,,,,,0.362088778,Kenya
156,NRB_21_R,Aflatoxin,,,,,0.499975943,Kenya
157,NRB_22_R,Aflatoxin,,,,,0.493899929,Kenya
158,NRB_23_R,Aflatoxin,,,,,0.493899929,Kenya
159,NRB_24_R,Aflatoxin,,,,,0.493899929,Kenya
160,NRB_25_R,Aflatoxin,,,,,0.412343405,Kenya
161,NRB_26_R,Aflatoxin,,,,,0.412343405,Kenya
162,NRB_27_R,Aflatoxin,,,,,0.492432296,Kenya
163,NRB_28_R,Aflatoxin,,,,,0.493899929,Kenya
164,NRB_29_R,Aflatoxin,,,,,0.852977398,Kenya
165,NRB_30_R,Aflatoxin,,,,,0.969974274,Kenya
166,NRB_31_R,Aflatoxin,,,,,0.402566111,Kenya
167,NRB_32_R,Aflatoxin,,,,,0.513253979,Kenya
168,NRB_33_R,Aflatoxin,,,,,0.493899929,Kenya
169,NRB_34_R,Aflatoxin,,,,,0.520389429,Kenya
170,NRB_35_R,Aflatoxin,,,,,0.493899929,Kenya
171,NRB_36_R,Aflatoxin,,,,,0.493899929,Kenya
172,NRB_37_R,Aflatoxin,,,,,0.520389429,Kenya
173,NRB_38_R,Aflatoxin,,,,,0.493899929,Kenya
174,NRB_39_R,Aflatoxin,,,,,0.546526816,Kenya
175,NRB_40_R,Aflatoxin,,,,,0.581423176,Kenya
176,NRB_41_R,Aflatoxin,,,,,0.392103928,Kenya
177,NRB_42_R,Aflatoxin,,,,,0.493899929,Kenya
178,NRB_43_R,Aflatoxin,,,,,0.493899929,Kenya
179,NRB_44_R,Aflatoxin,,,,,0.393131861,Kenya
180,NRB_45_R,Aflatoxin,,,,,0.493899929,Kenya
