,Sample ID,Sample_type,AF_level_ppb,AF_level_logppb,Mass_AF,Count_type,
102,GN-03,Calculated Bulk,8.72,0.94,,Ghana,
103,GN-04,Calculated Bulk,6.87,0.84,,Ghana,
104,GN-05,Calculated Bulk,8.42,0.93,,Ghana,
105,GN-06,Calculated Bulk,8.02,0.90,,Ghana,
106,GN-07,Calculated Bulk,9.00,0.95,,Ghana,
107,GN-08,Calculated Bulk,7.81,0.89,,Ghana,
108,GN-09,Calculated Bulk,7.01,0.85,,Ghana,
109,KA-01,Calculated Bulk,3.03,0.48,,Ghana,
110,KA-02,Calculated Bulk,7.09,0.85,,Ghana,
111,KA-03,Calculated Bulk,9.46,0.98,,Ghana,
112,KA-04,Calculated Bulk,8.43,0.93,,Ghana,
113,KA-05,Calculated Bulk,8.96,0.95,,Ghana,
114,KA-06,Calculated Bulk,9.76,0.99,,Ghana,
115,KA-07,Calculated Bulk,8.80,0.94,,Ghana,
116,KA-08,Calculated Bulk,8.92,0.95,,Ghana,
117,KA-09,Calculated Bulk,8.26,0.92,,Ghana,
118,FB-01,Calculated Bulk,9.24,0.97,,Ghana,
119,FB-02,Calculated Bulk,9.67,0.99,,Ghana,
120,FB-03,Calculated Bulk,7.58,0.88,,Ghana,
121,FB-04,Calculated Bulk,8.70,0.94,,Ghana,
122,FB-05,Calculated Bulk,9.80,0.99,,Ghana,
123,FB-06,Calculated Bulk,9.32,0.97,,Ghana,
124,FB-07,Calculated Bulk,8.83,0.95,,Ghana,
125,FB-08,Calculated Bulk,9.14,0.96,,Ghana,
126,FB-09,Calculated Bulk,8.71,0.94,,Ghana,
127,MM-01,Calculated Bulk,3.87,0.59,,Ghana,
128,MM-02,Calculated Bulk,11.29,1.05,,Ghana,
129,MM-03,Calculated Bulk,8.99,0.95,,Ghana,
130,MM-04,Calculated Bulk,9.77,0.99,,Ghana,
131,MM-05,Calculated Bulk,10.93,1.04,,Ghana,
132,MM-06,Calculated Bulk,11.14,1.05,,Ghana,
133,MM-07,Calculated Bulk,10.69,1.03,,Ghana,
134,MM-08,Calculated Bulk,9.26,0.97,,Ghana,
135,MM-09,Calculated Bulk,9.35,0.97,,Ghana,
136,NRB_1_A,Accept,1.548816619,0.190944465,421.7,Kenya,
137,NRB_2_A,Accept,1.096478196,0.036659436,339,Kenya,
138,NRB_3_A,Accept,1.096478196,0.047256871,524.8,Kenya,
139,NRB_4_A,Accept,1.096478196,0.047256871,452,Kenya,
140,NRB_5_A,Accept,9.54992586,0.979164521,376.7,Kenya,
141,NRB_6_A,Accept,1.905460718,0.275695348,390.3,Kenya,
142,NRB_7_A,Accept,2.089296131,0.32268726,301.7,Kenya,
143,NRB_8_A,Accept,63.09573445,1.79506949,394.2,Kenya,
144,NRB_9_A,Accept,1.096478196,0.047256871,385.3,Kenya,
145,NRB_10_A,Accept,1.096478196,0.047256871,306.1,Kenya,
146,NRB_11_A,Accept,1.096478196,0.047256871,338.1,Kenya,
147,NRB_12_A,Accept,1.096478196,0.047256871,430.3,Kenya,
148,NRB_13_A,Accept,1.258925412,0.10073651,426.5,Kenya,
149,NRB_14_A,Accept,1.096478196,0.047256871,300.2,Kenya,
150,NRB_15_A,Accept,1.096478196,0.047256871,481,Kenya,
151,NRB_16_A,Accept,1.096478196,0.047256871,364.8,Kenya,
152,NRB_17_A,Accept,1.096478196,0.047256871,249,Kenya,
153,NRB_18_A,Accept,10.71519305,1.034306843,272.9,Kenya,
154,NRB_19_A,Accept,1.096478196,0.047256871,367.2,Kenya,
155,NRB_20_A,Accept,1.905460718,0.282604613,419,Kenya,
156,NRB_21_A,Accept,1.096478196,0.047256871,457.5,Kenya,
157,NRB_22_A,Accept,1.096478196,0.047256871,161.1,Kenya,
