Sample_ID,Farm_type,AF_ppb_bulk,AF_ppb_accept,AF_ppb_reject,AF_ppb_percent_reject,Diference_accept_reject_AF,Diference_accept_reject_FM,Weight_accept,Weight_reject,Mass_sorted,Accept_mass_perc,perc_accept,Reject_mass_perc,perc_reject,Perc_total,Toxin Accept,Toxin reject,Toxin removed percentage,Difference,Reject Rate (mass) percentage,Fraction_rejected/reject_rate_AF,Calculated bulk (ppb)
FB-02,Faustban Farms,,8.09,12.2,0.601281419,-4.11,,307.87,192.13,500,0.61574,61.574,0.38426,38.426,100,2490.6683,2343.986,48.48301149,-4.11,38.426,1.261724132,9.6693086
FB-03,Faustban Farms,,5.24,11.24,0.682038835,-6,,304.65,195.35,500,0.6093,60.93,0.3907,39.07,100,1596.366,2195.734,57.90285066,-6,39.07,1.482028428,7.5842
FB-04,Faustban Farms,,7.71,10.29,0.571666667,-2.58,,308.43,191.57,500,0.61686,61.686,0.38314,38.314,100,2377.9953,1971.2553,45.32402203,-2.58,38.314,1.182962417,8.6985012
FB-05,Faustban Farms,,10.15,9.25,0.476804124,0.9,,302.78,197.22,500,0.60556,60.556,0.39444,39.444,100,3073.217,1824.285,37.24929566,0.9,39.444,0.944358981,9.795004
FB-06,Faustban Farms,,8.26,11.24,0.576410256,-2.98,,321.56,178.44,500,0.64312,64.312,0.35688,35.688,100,2656.0856,2005.6656,43.02386622,-2.98,35.688,1.205555543,9.3235024
FB-07,Faustban Farms,,7.89,10.26,0.565289256,-2.37,,300.85,199.15,500,0.6017,60.17,0.3983,39.83,100,2373.7065,2043.279,46.25958134,-2.37,39.83,1.161425592,8.833971
FB-08,Faustban Farms,,8.42,10.24,0.548767417,-1.82,,301.9,198.1,500,0.6038,60.38,0.3962,39.62,100,2541.998,2028.544,44.38300753,-1.82,39.62,1.120217252,9.141084
FB-09,Faustban Farms,,8.25,9.45,0.533898305,-1.2,,306.48,193.52,500,0.61296,61.296,0.38704,38.704,100,2528.46,1828.764,41.97085117,-1.2,38.704,1.084406035,8.714448
MM-01,M.M. Unity Farms,,3.05,8.22,0.729370009,-5.17,,420.44,79.56,500,0.84088,84.088,0.15912,15.912,100,1282.342,653.9832,33.7744507,-5.17,15.912,2.122577344,3.8726504
MM-02,M.M. Unity Farms,,8.79,15.37,0.636175497,-6.58,,309.74,190.26,500,0.61948,61.948,0.38052,38.052,100,2722.6146,2924.2962,51.78576931,-6.58,38.052,1.36092109,11.2938216
MM-03,M.M. Unity Farms,,6.28,13.33,0.679755227,-7.05,,307.89,192.11,500,0.61578,61.578,0.38422,38.422,100,1933.5492,2560.8263,56.97846787,-7.05,38.422,1.482964652,8.988751
MM-04,M.M. Unity Farms,,7.33,13.78,0.652771198,-6.45,,310.56,189.44,500,0.62112,62.112,0.37888,37.888,100,2276.4048,2610.4832,53.41810985,-6.45,37.888,1.409895213,9.773776
MM-05,M.M. Unity Farms,,8.66,14.46,0.625432526,-5.8,,304.67,195.33,500,0.60934,60.934,0.39066,39.066,100,2638.4422,2824.4718,51.70265906,-5.8,39.066,1.323469489,10.925828
MM-06,M.M. Unity Farms,,9.05,14.45,0.614893617,-5.4,,306.78,193.22,500,0.61356,61.356,0.38644,38.644,100,2776.359,2792.029,50.14070499,-5.4,38.644,1.297502976,11.136776
MM-07,M.M. Unity Farms,,8.66,13.97,0.617322139,-5.31,,308.67,191.4,500.07,0.617253584,61.72535845,0.382746416,38.27464155,100,2673.0822,2673.858,50.00725462,-5.31,38.27464155,1.306537503,10.69238347
MM-08,M.M. Unity Farms,,7.34,12.12,0.622816033,-4.78,,298.87,201.13,500,0.59774,59.774,0.40226,40.226,100,2193.7058,2437.6956,52.63408177,-4.78,40.226,1.30845925,9.2628028
MM-09,M.M. Unity Farms,,8.08,11.36,0.58436214,-3.28,,306.98,193.02,500,0.61396,61.396,0.38604,38.604,100,2480.3984,2192.7072,46.92184144,-3.28,38.604,1.215465792,9.3462112
